id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Emelie;Brakus;Randy.Medhurst@gmail.com;debt North;2023-06-19T16:44:37;53149;31862
2;Lucio;Rogahn;Norene_Shields89@hotmail.com;cyan female er;2023-06-19T03:55:09;70195;97498
3;Derek;Rogahn;Florian44@yahoo.com;aggregate Avon Neither;2023-06-19T10:36:58;62761;15257
4;Peter;King;Daron13@hotmail.com;Camden cheerful Ferrari;2023-06-20T00:43:29;29760;36034
5;Frederick;Jacobson;Tomas56@yahoo.com;violet program;2023-06-19T12:28:19;1901;9929
6;Alycia;King;Ewald_Raynor@hotmail.com;nor failing illum;2023-06-20T00:58:10;86628;79716
7;Bernice;Gislason;Jazlyn.Schuppe51@gmail.com;South California;2023-06-19T13:29:23;76756;56819
8;Heber;Ebert;Foster.Hamill17@hotmail.com;North deploy;2023-06-19T13:59:52;47284;29811
9;Tamia;Wolff;Noble72@gmail.com;Concrete Watsica;2023-06-19T15:07:54;47152;87673
10;Rosella;Durgan;Marina_Abshire8@gmail.com;violet Bicycle sensor;2023-06-19T10:17:50;31066;7928
